Review	Liked	Age	Gender
The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.	0	53	F
Not much seafood and like 5 strings of pasta at the bottom.	0	54	F
"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked."	1	37	M
"The ripped banana was not only ripped, but petrified and tasteless."	0	45	F
At least think to refill my water before I struggle to wave you over for 10 minutes.	0	36	M
This place receives stars for their APPETIZERS!!!	1	22	F
The cocktails are all handmade and delicious.	1	57	F
We'd definitely go back here again.	1	48	M
We are so glad we found this place.	1	35	M
"Great food and service, huge portions and they give a military discount."	1	50	M
Always a great time at Dos Gringos!	1	22	M
Update.....went back for a second time and it was still just as amazing	1	21	F
We got the food and apparently they have never heard of salt and the batter on the fish was chewy.	0	50	F
A great way to finish a great.	1	38	F
"The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected."	1	33	F
#NAME?	1	47	F
The service was meh.	0	45	F
"It took over 30 min to get their milkshake, which was nothing more than chocolate milk."	0	59	M
"I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense."	0	33	F
The scallop dish is quite appalling for value as well.	0	44	M
2 times - Very Bad Customer Service !	0	29	F
The sweet potato fries were very good and seasoned well.	1	20	F
Today is the second time I've been to their lunch buffet and it was pretty good.	1	52	F
There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.	0	32	F
Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.	0	44	M
walked in and the place smelled like an old grease trap and only 2 others there eating.	0	49	F
The turkey and roast beef were bland.	0	50	M
This place has it!	1	37	F
The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.	0	40	M
I love the Pho and the spring rolls oh so yummy you have to try.	1	51	M
The poor batter to meat ratio made the chicken tenders very unsatisfying.	0	36	F
All I have to say is the food was amazing!!!	1	33	M
Omelets are to die for!	1	34	M
Everything was fresh and delicious!	1	19	M
"In summary, this was a largely disappointing dining experience."	0	34	F
"It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party."	1	52	F
"Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!"	0	21	F
Best breakfast buffet!!!	1	26	F
say bye bye to your tip lady!	0	43	F
We'll never go again.	0	22	F
Will be back again!	1	22	M
Food arrived quickly!	1	52	M
It was not good.	0	53	M
"On the up side, their cafe serves really good food."	1	26	M
"Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!"	1	41	M
"The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming."	1	54	F
"Best Buffet in town, for the price you cannot beat it."	1	52	M
"I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious."	1	37	F
This is one of the better buffets that I have been to.	1	54	F
So we went to Tigerlilly and had a fantastic afternoon!	1	41	M
"The food was delicious, our bartender was attentive and personable AND we got a great deal!"	1	59	M
The ambience is wonderful and there is music playing.	1	41	M
Will go back next trip out.	1	50	F
Sooooo good!!	1	35	M
"REAL sushi lovers, let's be honest - Yama is not that good."	0	28	M
"At least 40min passed in between us ordering and the food arriving, and it wasn't that busy."	0	45	F
This is a really fantastic Thai restaurant which is definitely worth a visit.	1	52	M
"Nice, spicy and tender."	1	22	M
Good prices.	1	24	M
Check it out.	1	23	F
It was pretty gross!	0	21	F
I've had better atmosphere.	0	48	M
Kind of hard to mess up a steak but they did.	0	23	F
"Although I very much liked the look and sound of this place, the actual experience was a bit disappointing."	0	43	F
I just don't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.	0	39	F
"Worst service to boot, but that is the least of their worries."	0	49	M
Service was fine and the waitress was friendly.	1	29	F
"The guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten."	1	28	F
"We thought you'd have to venture further away to get good sushi, but this place really hit the spot that night."	1	23	M
"Host staff were, for lack of a better word, BITCHES!"	0	22	M
Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...	0	24	M
"Phenomenal food, service and ambiance."	1	36	M
I wouldn't return.	0	51	F
"Definitely worth venturing off the strip for the pork belly, will return next time I'm in Vegas."	1	21	F
This place is way too overpriced for mediocre food.	0	47	M
Penne vodka excellent!	1	38	M
"They have a good selection of food including a massive meatloaf sandwich, a crispy chicken wrap, a delish tuna melt and some tasty burgers."	1	26	F
The management is rude.	0	41	M
"Delicious NYC bagels, good selections of cream cheese, real Lox with capers even."	1	29	M
"Great Subway, in fact it's so good when you come here every other Subway will not meet your expectations."	1	18	M
I had a seriously solid breakfast here.	1	52	M
This is one of the best bars with food in Vegas.	1	51	M
"He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas."	0	50	M
My drink was never empty and he made some really great menu suggestions.	1	22	M
Don't do it!!!!	0	58	M
The waiter wasn't helpful or friendly and rarely checked on us.	0	19	F
My husband and I ate lunch here and were very disappointed with the food and service.	0	50	F
And the red curry had so much bamboo shoots and wasn't very tasty to me.	0	24	F
Nice blanket of moz over top but i feel like this was done to cover up the subpar food.	1	53	M
The bathrooms are clean and the place itself is well decorated.	1	59	M
"The menu is always changing, food quality is going down & service is extremely slow."	0	33	M
"The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace."	0	54	F
I give it 2 thumbs down	0	35	F
We watched our waiter pay a lot more attention to other tables and ignore us.	0	25	F
My fiancé and I came in the middle of the day and we were greeted and seated right away.	1	47	F
This is a great restaurant at the Mandalay Bay.	1	46	M
We waited for forty five minutes in vain.	0	32	F
Crostini that came with the salad was stale.	0	35	F
Some highlights : Great quality nigiri here!	1	50	F
the staff is friendly and the joint is always clean.	1	22	F
this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.	1	58	F
I ordered the Voodoo pasta and it was the first time I'd had really excellent pasta since going gluten free several years ago.	1	31	M
this place is good.	1	50	F
"Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE."	0	26	F
I came back today since they relocated and still not impressed.	0	48	F
I was seated immediately.	1	27	M
"Their menu is diverse, and reasonably priced."	1	29	M
Avoid at all cost!	0	21	M
Restaurant is always full but never a wait.	1	60	M
DELICIOUS!!	1	45	F
This place is hands-down one of the best places to eat in the Phoenix metro area.	1	52	F
So don't go there if you are looking for good food...	0	43	F
I've never been treated so bad.	0	31	M
Bacon is hella salty.	1	27	F
"We also ordered the spinach and avocado salad, the ingredients were sad and the dressing literally had zero taste."	0	29	F
"This really is how Vegas fine dining used to be, right down to the menus handed to the ladies that have no prices listed."	1	33	M
The waitresses are very friendly.	1	37	M
"Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!"	1	35	F
Everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter.	1	57	M
"Perhaps I caught them on an off night judging by the other reviews, but I'm not inspired to go back."	0	55	F
The service here leaves a lot to be desired.	0	40	F
"The atmosphere is modern and hip, while maintaining a touch of coziness."	1	46	M
"Not a weekly haunt, but definitely a place to come back to every once in a while."	1	34	F
We literally sat there for 20 minutes with no one asking to take our order.	0	50	F
"The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor."	0	21	M
I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.	0	29	M
I dressed up to be treated so rudely!	0	31	F
It was probably dirt.	0	24	M
"Love this place, hits the spot when I want something healthy but not lacking in quantity or flavor."	1	29	M
I ordered the Lemon raspberry ice cocktail which was also incredible.	1	29	M
"The food sucked, which we expected but it sucked more than we could have imagined."	0	19	F
Interesting decor.	1	22	M
What I really like there is the crepe station.	1	33	M
"Also were served hot bread and butter, and home made potato chips with bacon bits on top....very original and very good."	1	25	F
you can watch them preparing the delicious food!)	1	55	F
Both of the egg rolls were fantastic.	1	59	M
"When my order arrived, one of the gyros was missing."	0	20	F
"I had a salad with the wings, and some ice cream for dessert and left feeling quite satisfied."	1	26	M
I'm not really sure how Joey's was voted best hot dog in the Valley by readers of Phoenix Magazine.	0	24	M
The best place to go for a tasty bowl of Pho!	1	54	M
The live music on Fridays totally blows.	0	36	M
I've never been more insulted or felt disrespected.	0	27	F
Very friendly staff.	1	48	M
It is worth the drive.	1	50	F
"I had heard good things about this place, but it exceeding every hope I could have dreamed of."	1	52	M
Food was great and so was the serivce!	1	39	F
The warm beer didn't help.	0	48	M
Great brunch spot.	1	56	M
Service is friendly and inviting.	1	58	F
Very good lunch spot.	1	22	M
I've lived here since 1979 and this was the first (and last) time I've stepped foot into this place.	0	42	M
The WORST EXPERIENCE EVER.	0	38	F
Must have been an off night at this place.	0	50	M
"The sides are delish - mixed mushrooms, yukon gold puree, white corn - beateous."	1	53	F
"If that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen."	0	31	M
"For about 10 minutes, we we're waiting for her salad when we realized that it wasn't coming any time soon."	0	36	F
My friend loved the salmon tartar.	1	24	M
Won't go back.	0	27	M
Extremely Tasty!	1	18	F
Waitress was good though!	1	18	F
Soggy and not good.	0	33	M
The Jamaican mojitos are delicious.	1	48	M
Which are small and not worth the price.	0	52	F
#NAME?	1	47	M
"The shower area is outside so you can only rinse, not take a full shower, unless you don't mind being nude for everyone to see!"	0	27	F
The service was a bit lacking.	0	59	F
"Lobster Bisque, Bussell Sprouts, Risotto, Filet ALL needed salt and pepper..and of course there is none at the tables."	0	59	F
Hopefully this bodes for them going out of business and someone who can cook can come in.	0	43	F
"It was either too cold, not enough flavor or just bad."	0	37	M
I loved the bacon wrapped dates.	1	58	M
This is an unbelievable BARGAIN!	1	39	M
The folks at Otto always make us feel so welcome and special.	1	31	F
"As for the ""mains,"" also uninspired."	0	56	F
This is the place where I first had pho and it was amazing!!	1	19	F
This wonderful experience made this place a must-stop whenever we are in town again.	1	34	F
"If the food isn't bad enough for you, then enjoy dealing with the world's worst/annoying drunk people."	0	48	M
Very very fun chef.	1	55	F
"Ordered a double cheeseburger & got a single patty that was falling apart (picture uploaded) Yeah, still sucks."	0	22	F
Great place to have a couple drinks and watch any and all sporting events as the walls are covered with TV's.	1	41	F
"If it were possible to give them zero stars, they'd have it."	0	30	M
"The descriptions said ""yum yum sauce"" and another said ""eel sauce"", yet another said ""spicy mayo""...well NONE of the rolls had sauces on them."	0	58	M
"I'd say that would be the hardest decision... Honestly, all of M's dishes taste how they are supposed to taste (amazing)."	1	35	M
If she had not rolled the eyes we may have stayed... Not sure if we will go back and try it again.	0	49	M
"Everyone is very attentive, providing excellent customer service."	1	59	F
Horrible - don't waste your time and money.	0	40	F
Now this dish was quite flavourful.	1	24	M
By this time our side of the restaurant was almost empty so there was no excuse.	0	34	M
"(It wasn't busy either) Also, the building was FREEZING cold."	0	26	F
"like the other reviewer said ""you couldn't pay me to eat at this place again."""	0	56	M
-Drinks took close to 30 minutes to come out at one point.	0	34	M
"Seriously flavorful delights, folks."	1	46	M
Much better than the other AYCE sushi place I went to in Vegas.	1	24	M
The lighting is just dark enough to set the mood.	1	39	M
Based on the sub-par service I received and no effort to show their gratitude for my business I won't be going back.	0	34	F
Owner's are really great people.!	1	18	F
There is nothing privileged about working/eating there.	0	22	F
The Greek dressing was very creamy and flavorful.	1	44	M
"Overall, I don't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too."	0	25	F
Now the pizza itself was good the peanut sauce was very tasty.	1	22	M
We had 7 at our table and the service was pretty fast.	1	35	F
Fantastic service here.	1	50	F
I as well would've given godfathers zero stars if possible.	0	30	M
They know how to make them here.	1	54	M
very tough and very short on flavor!	0	47	F
I hope this place sticks around.	1	30	F
"I have been in more than a few bars in Vegas, and do not ever recall being charged for tap water."	0	40	F
The restaurant atmosphere was exquisite.	1	46	M
"Good service, very clean, and inexpensive, to boot!"	1	48	F
The seafood was fresh and generous in portion.	1	40	F
"Plus, it's only 8 bucks."	1	19	M
"The service was not up to par, either."	0	44	F
"Thus far, have only visited twice and the food was absolutely delicious each time."	1	53	M
Just as good as when I had it more than a year ago!	1	40	F
"For a self proclaimed coffee cafe, I was wildly disappointed."	0	50	F
The Veggitarian platter is out of this world!	1	28	F
You cant go wrong with any of the food here.	1	18	F
You can't beat that.	1	19	F
"Stopped by this place while in Madison for the Ironman, very friendly, kind staff."	1	46	F
The chefs were friendly and did a good job.	1	54	F
"I've had better, not only from dedicated boba tea spots, but even from Jenni Pho."	0	33	M
I liked the patio and the service was outstanding.	1	31	F
The goat taco didn't skimp on the meat and wow what FLAVOR!	1	27	F
I think not again	0	35	M
I had the mac salad and it was pretty bland so I will not be getting that again.	0	24	F
I went to Bachi Burger on a friend's recommendation and was not disappointed.	1	20	M
Service stinks here!	0	33	F
I waited and waited.	0	28	M
"This place is not quality sushi, it is not a quality restaurant."	0	48	M
I would definitely recommend the wings as well as the pizza.	1	47	F
Great Pizza and Salads!	1	39	F
Things that went wrong: - They burned the saganaki.	0	51	F
We waited an hour for what was a breakfast I could have done 100 times better at home.	0	25	F
This place is amazing!	1	33	F
"I hate to disagree with my fellow Yelpers, but my husband and I were so disappointed with this place."	0	32	F
Waited 2 hours & never got either of our pizzas as many other around us who came in later did!	0	21	M
Just don't know why they were so slow.	0	29	F
"The staff is great, the food is delish, and they have an incredible beer selection."	1	26	M
"I live in the neighborhood so I am disappointed I won't be back here, because it is a convenient location."	0	46	M
I didn't know pulled pork could be soooo delicious.	1	39	F
"You get incredibly fresh fish, prepared with care."	1	51	F
Before I go in to why I gave a 1 star rating please know that this was my third time eating at Bachi burger before writing a review.	0	50	F
I love the fact that everything on their menu is worth it.	1	47	M
Never again will I be dining at this place!	0	26	F
The food was excellent and service was very good.	1	32	F
Good beer & drink selection and good food selection.	1	45	M
Please stay away from the shrimp stir fried noodles.	0	38	F
The potato chip order was sad... I could probably count how many chips were in that box and it was probably around 12.	0	48	M
Food was really boring.	0	60	M
Good Service-check!	1	18	F
This greedy corporation will NEVER see another dime from me!	0	47	F
"Will never, ever go back."	0	36	M
"As much as I'd like to go back, I can't get passed the atrocious service and will never return."	0	58	F
"In the summer, you can dine in a charming outdoor patio - so very delightful."	1	48	M
I did not expect this to be so good!	1	46	M
Fantastic food!	1	58	M
She ordered a toasted English muffin that came out untoasted.	0	49	F
The food was very good.	1	39	M
Never going back.	0	47	M
"Great food for the price, which is very high quality and house made."	1	48	F
The bus boy on the other hand was so rude.	0	21	F
"By this point, my friends and I had basically figured out this place was a joke and didn't mind making it publicly and loudly known."	0	58	M
"Back to good BBQ, lighter fare, reasonable pricing and tell the public they are back to the old ways."	1	47	M
"And considering the two of us left there very full and happy for about $20, you just can't go wrong."	1	30	M
All the bread is made in-house!	1	59	F
The only downside is the service.	0	60	F
"Also, the fries are without a doubt the worst fries I've ever had."	0	46	M
Service was exceptional and food was a good as all the reviews.	1	38	M
"A couple of months later, I returned and had an amazing meal."	1	57	M
Favorite place in town for shawarrrrrrma!!!!!!	1	42	F
The black eyed peas and sweet potatoes... UNREAL!	1	27	F
You won't be disappointed.	1	43	M
"They could serve it with just the vinaigrette and it may make for a better overall dish, but it was still very good."	1	19	M
"I go to far too many places and I've never seen any restaurant that serves a 1 egg breakfast, especially for $4.00."	0	31	F
When my mom and I got home she immediately got sick and she only had a few bites of salad.	0	30	F
The servers are not pleasant to deal with and they don't always honor Pizza Hut coupons.	0	46	F
"Both of them were truly unbelievably good, and I am so glad we went back."	1	26	F
"We had fantastic service, and were pleased by the atmosphere."	1	59	M
Everything was gross.	0	25	F
I love this place.	1	33	M
Great service and food.	1	45	F
First - the bathrooms at this location were dirty- Seat covers were not replenished & just plain yucky!!!	0	43	F
"The burger... I got the ""Gold Standard"" a $17 burger and was kind of disappointed."	0	54	F
"OMG, the food was delicioso!"	1	49	M
There is nothing authentic about this place.	0	43	M
the spaghetti is nothing special whatsoever.	0	28	F
"Of all the dishes, the salmon was the best, but all were great."	1	35	F
The vegetables are so fresh and the sauce feels like authentic Thai.	1	34	F
It's worth driving up from Tucson!	1	37	F
The selection was probably the worst I've seen in Vegas.....there was none.	0	39	F
Pretty good beer selection too.	1	30	F
"This place is like Chipotle, but BETTER."	1	56	F
"Classy/warm atmosphere, fun and fresh appetizers, succulent steaks (Baseball steak!!!!!"	1	44	F
5 stars for the brick oven bread app!	1	44	F
"I have eaten here multiple times, and each time the food was delicious."	1	33	M
We sat another ten minutes and finally gave up and left.	0	48	M
He was terrible!	0	57	F
Everyone is treated equally special.	1	38	F
It shouldn't take 30 min for pancakes and eggs.	0	44	M
It was delicious!!!	1	33	M
"On the good side, the staff was genuinely pleasant and enthusiastic - a real treat."	1	52	F
"Sadly, Gordon Ramsey's Steak is a place we shall sharply avoid during our next trip to Vegas."	0	32	M
As always the evening was wonderful and the food delicious!	1	32	F
Best fish I've ever had in my life!	1	38	M
(The bathroom is just next door and very nice.)	1	33	M
The buffet is small and all the food they offered was BLAND.	0	27	F
This is an Outstanding little restaurant with some of the Best Food I have ever tasted.	1	30	M
Pretty cool I would say.	1	34	M
Definitely a turn off for me & i doubt I'll be back unless someone else is buying.	0	36	F
Server did a great job handling our large rowdy table.	1	55	M
"I find wasting food to be despicable, but this just wasn't food."	0	59	M
My wife had the Lobster Bisque soup which was lukewarm.	0	33	F
Would come back again if I had a sushi craving while in Vegas.	1	26	F
"The staff are great, the ambiance is great."	1	18	F
He deserves 5 stars.	1	46	F
I left with a stomach ache and felt sick the rest of the day.	0	50	M
They dropped more than the ball.	0	35	F
"The dining space is tiny, but elegantly decorated and comfortable."	1	44	F
"They will customize your order any way you'd like, my usual is Eggplant with Green Bean stir fry, love it!"	1	43	M
And the beans and rice were mediocre at best.	0	46	F
Best tacos in town by far!!	1	22	F
I took back my money and got outta there.	0	50	M
"In an interesting part of town, this place is amazing."	1	29	F
RUDE & INCONSIDERATE MANAGEMENT.	0	46	F
"The staff are now not as friendly, the wait times for being served are horrible, no one even says hi for the first 10 minutes."	0	44	M
I won't be back.	0	48	F
They have great dinners.	1	53	M
The service was outshining & I definitely recommend the Halibut.	1	42	F
The food was terrible.	0	42	M
WILL NEVER EVER GO BACK AND HAVE TOLD MANY PEOPLE WHAT HAD HAPPENED.	0	30	F
I don't recommend unless your car breaks down in front of it and you are starving.	0	48	M
I will come back here every time I'm in Vegas.	1	37	F
This place deserves one star and 90% has to do with the food.	0	56	M
This is a disgrace.	0	54	M
Def coming back to bowl next time	1	25	M
"If you want healthy authentic or ethic food, try this place."	1	32	F
I will continue to come here on ladies night andddd date night ... highly recommend this place to anyone who is in the area.	1	30	F
"I have been here several times in the past, and the experience has always been great."	1	44	M
We walked away stuffed and happy about our first Vegas buffet experience.	1	52	M
Service was excellent and prices are pretty reasonable considering this is Vegas and located inside the Crystals shopping mall by Aria.	1	35	M
"To summarize... the food was incredible, nay, transcendant... but nothing brings me joy quite like the memory of the pneumatic condiment dispenser."	1	52	F
I'm probably one of the few people to ever go to Ians and not like it.	0	40	F
Kids pizza is always a hit too with lots of great side dish options for the kiddos!	1	29	F
Service is perfect and the family atmosphere is nice to see.	1	33	F
Cooked to perfection and the service was impeccable.	1	46	F
This one is simply a disappointment.	0	19	M
"Overall, I was very disappointed with the quality of food at Bouchon."	0	56	F
I don't have to be an accountant to know I'm getting screwed!	0	53	F
"Great place to eat, reminds me of the little mom and pop shops in the San Francisco Bay Area."	1	41	F
Today was my first taste of a Buldogis Gourmet Hot Dog and I have to tell you it was more than I ever thought possible.	1	48	M
Left very frustrated.	0	60	F
I'll definitely be in soon again.	1	59	M
Food was really good and I got full petty fast.	1	40	F
Service was fantastic.	1	41	M
TOTAL WASTE OF TIME.	0	42	M
I don't know what kind it is but they have the best iced tea.	1	49	F
"Come hungry, leave happy and stuffed!"	1	24	M
"For service, I give them no stars."	0	35	M
I can assure you that you won't be disappointed.	1	56	F
I can take a little bad service but the food sucks.	0	26	F
Gave up trying to eat any of the crust (teeth still sore).	0	36	F
But now I was completely grossed out.	0	43	F
I really enjoyed eating here.	1	50	M
First time going but I think I will quickly become a regular.	1	33	M
"Our server was very nice, and even though he looked a little overwhelmed with all of our needs, he stayed professional and friendly until the end."	1	34	M
From what my dinner companions told me...everything was very fresh with nice texture and taste.	1	18	F
"On the ground, right next to our table was a large, smeared, been-stepped-in-and-tracked-everywhere pile of green bird poop."	0	23	M
"Furthermore, you can't even find hours of operation on the website!"	0	34	M
We've tried to like this place but after 10+ times I think we're done with them.	0	22	F
What a mistake that was!	0	21	F
No complaints!	1	21	F
This is some seriously good pizza and I'm an expert/connisseur on the topic.	1	43	M
Waiter was a jerk.	0	50	F
"Strike 2, who wants to be rushed."	0	19	M
These are the nicest restaurant owners I've ever come across.	1	47	M
I never come again.	0	32	F
We loved the biscuits!!!	1	36	M
Service is quick and friendly.	1	55	F
Ordered an appetizer and took 40 minutes and then the pizza another 10 minutes.	0	57	M
So absolutley fantastic.	1	49	M
It was a huge awkward 1.5lb piece of cow that was 3/4ths gristle and fat.	0	28	F
definitely will come back here again.	1	39	M
I like Steiners because it's dark and it feels like a bar.	1	19	F
Wow very spicy but delicious.	1	52	F
"If you're not familiar, check it out."	1	47	F
I'll take my business dinner dollars elsewhere.	0	27	M
I'd love to go back.	1	60	F
"Anyway, this FS restaurant has a wonderful breakfast/lunch."	1	49	F
Nothing special.	0	50	M
Each day of the week they have a different deal and it's all so delicious!	1	36	F
"Not to mention the combination of pears, almonds and bacon is a big winner!"	1	22	F
Will not be back.	0	33	F
Sauce was tasteless.	0	32	F
"The food is delicious and just spicy enough, so be sure to ask for spicier if you prefer it that way."	1	36	M
My ribeye steak was cooked perfectly and had great mesquite flavor.	1	19	F
I don't think we'll be going back anytime soon.	0	22	F
Food was so gooodd.	1	49	F
I am far from a sushi connoisseur but I can definitely tell the difference between good food and bad food and this was certainly bad food.	0	29	F
I was so insulted.	0	55	F
The last 3 times I had lunch here has been bad.	0	43	M
The chicken wings contained the driest chicken meat I have ever eaten.	0	31	F
"The food was very good and I enjoyed every mouthful, an enjoyable relaxed venue for couples small family groups etc."	1	44	M
Nargile - I think you are great.	1	59	F
Best tater tots in the southwest.	1	54	F
We loved the place.	1	45	M
Definitely not worth the $3 I paid.	0	55	M
The vanilla ice cream was creamy and smooth while the profiterole (choux) pastry was fresh enough.	1	36	F
Im in AZ all the time and now have my new spot.	1	33	F
The manager was the worst.	0	33	M
The inside is really quite nice and very clean.	1	23	F
The food was outstanding and the prices were very reasonable.	1	52	M
I don't think I'll be running back to Carly's anytime soon for food.	0	21	F
"This is was due to the fact that it took 20 minutes to be acknowledged, then another 35 minutes to get our food...and they kept forgetting things."	0	43	M
"Love the margaritas, too!"	1	52	M
This was my first and only Vegas buffet and it did not disappoint.	1	26	F
"Very good, though!"	1	38	F
The one down note is the ventilation could use some upgrading.	0	54	F
Great pork sandwich.	1	28	M
Don't waste your time here.	0	45	F
"Total letdown, I would much rather just go to the Camelback Flower Shop and Cartel Coffee."	0	24	M
"Third, the cheese on my friend's burger was cold."	0	57	F
We enjoy their pizza and brunch.	1	39	F
The steaks are all well trimmed and also perfectly cooked.	1	59	M
We had a group of 70+ when we claimed we would only have 40 and they handled us beautifully.	1	28	M
I LOVED it!	1	54	F
We asked for the bill to leave without eating and they didn't bring that either.	0	45	F
"This place is a jewel in Las Vegas, and exactly what I've been hoping to find in nearly ten years living here."	1	56	F
Seafood was limited to boiled shrimp and crab legs but the crab legs definitely did not taste fresh.	0	44	M
The selection of food was not the best.	0	27	M
Delicious and I will absolutely be back!	1	36	M
"This isn't a small family restaurant, this is a fine dining establishment."	1	51	F
They had a toro tartare with a cavier that was extraordinary and I liked the thinly sliced wagyu with white truffle.	1	28	F
I dont think I will be back for a very long time.	0	23	M
"It was attached to a gas station, and that is rarely a good sign."	0	23	M
How awesome is that.	1	46	M
I will be back many times soon.	1	58	M
The menu had so much good stuff on it i could not decide!	1	19	F
"Worse of all, he humiliated his worker right in front of me..Bunch of horrible name callings."	0	60	F
CONCLUSION: Very filling meals.	1	45	F
Their daily specials are always a hit with my group.	1	28	F
And then tragedy struck.	0	42	F
The pancake was also really good and pretty large at that.	1	36	F
"This was my first crawfish experience, and it was delicious!"	1	50	F
Their monster chicken fried steak and eggs is my all time favorite.	1	29	M
Waitress was sweet and funny.	1	18	M
"I also had to taste my Mom's multi-grain pumpkin pancakes with pecan butter and they were amazing, fluffy, and delicious!"	1	42	M
"I'd rather eat airline food, seriously."	0	26	M
Cant say enough good things about this place.	1	40	F
The ambiance was incredible.	1	55	F
The waitress and manager are so friendly.	1	41	F
I would not recommend this place.	0	22	M
Overall I wasn't very impressed with Noca.	0	40	F
My gyro was basically lettuce only.	0	28	M
Terrible service!	0	26	M
Thoroughly disappointed!	0	40	M
"I don't each much pasta, but I love the homemade /hand made pastas and thin pizzas here."	1	43	F
"Give it a try, you will be happy you did."	1	28	F
By far the BEST cheesecurds we have ever had!	1	26	M
Reasonably priced also!	1	57	M
Everything was perfect the night we were in.	1	40	F
The food is very good for your typical bar food.	1	40	M
it was a drive to get there.	0	54	M
